word, root, skeleton, wiki_link, meanings
أَغْنَى, غني, أغنى, https://en.wiktionary.org/wiki/%D8%A3%D8%BA%D9%86%D9%89, elative degree of غَنِيّ (ḡaniyy):
أَغْنَى, غني, أغنى, https://en.wiktionary.org/wiki/%D8%A3%D8%BA%D9%86%D9%89, to enrich; to avail; to benefit; to be of use
أُغَنَّى, غني, أغنى, https://en.wiktionary.org/wiki/%D8%A3%D8%BA%D9%86%D9%89, first-person singular non-past passive indicative of غَنَّى (ḡannā); first-person singular non-past passive subjunctive of غَنَّى (ḡannā)
غَنِيَ, غني, غني, https://en.wiktionary.org/wiki/%D8%BA%D9%86%D9%8A, inhabit; dwell; settle; remain; continue to be; live; exist; to be content; be satisfied with one's lot; stay at home; live quietly and wisely
غَنِيّ, غني, غني, https://en.wiktionary.org/wiki/%D8%BA%D9%86%D9%8A, rich; wealthy
غَنِّي, غني, غني, https://en.wiktionary.org/wiki/%D8%BA%D9%86%D9%8A, second-person feminine singular active imperative of غَنَّى (ḡannā)
غُنِّيَ, غني, غني, https://en.wiktionary.org/wiki/%D8%BA%D9%86%D9%8A, third-person masculine singular past passive of غَنَّى (ḡannā)
أُغْنِيَّة, غني, أغنية, https://en.wiktionary.org/wiki/%D8%A3%D8%BA%D9%86%D9%8A%D8%A9, song; melody; tune
أُغْنِيَة, غني, أغنية, https://en.wiktionary.org/wiki/%D8%A3%D8%BA%D9%86%D9%8A%D8%A9, Alternative form of أُغْنِيَّة (ʔuḡniyya)
اُغْنِيَة, غني, أغنية, https://en.wiktionary.org/wiki/%D8%A3%D8%BA%D9%86%D9%8A%D8%A9, song
اُغْنِيَّة, غني, أغنية, https://en.wiktionary.org/wiki/%D8%A3%D8%BA%D9%86%D9%8A%D8%A9, song
غَنَّى, غني, غنى, https://en.wiktionary.org/wiki/%D8%BA%D9%86%D9%89, to sing; sing about someone; describe someone in verse (whether with praise or with blame; (of pigeons) coo; say compliments to a woman
غِنًى, غني, غنى, https://en.wiktionary.org/wiki/%D8%BA%D9%86%D9%89, verbal noun of غَنِيَ (ḡaniya) (form I); richness; free from need
غنّى, غني, غنى, https://en.wiktionary.org/wiki/%D8%BA%D9%86%D9%89, to sing
اِسْتَغْنَى, غني, استغنى, https://en.wiktionary.org/wiki/%D8%A7%D8%B3%D8%AA%D8%BA%D9%86%D9%89, to be rich; to become rich
غَيْهَب, غهب, غيهب, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D9%87%D8%A8, darkness; obscurity; intense black
غَيْهَب, غهب, غيهب, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D9%87%D8%A8, intensely black; of peculiarly dark colour; inadvertent; heedless; inattentive; inconsiderate; inert; timid; dull
غَيْهَبَ, غهب, غيهب, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D9%87%D8%A8, to debilitate the sight with darkness
أَغَاثَ, غوث, أغاث, https://en.wiktionary.org/wiki/%D8%A3%D8%BA%D8%A7%D8%AB, to aid; succour; give relief; remove from trouble or affliction; come to help
غَاثَ, غوث, غاث, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D8%AB, to help; to aid
اِسْتَغَاثَ, غوث, استغاث, https://en.wiktionary.org/wiki/%D8%A7%D8%B3%D8%AA%D8%BA%D8%A7%D8%AB, to call to help; to appeal
غَوَّثَ, غوث, غوث, https://en.wiktionary.org/wiki/%D8%BA%D9%88%D8%AB, (transitive) to call for help; to appeal.
